norm_iri;content;content_clean
dio~di101-0011~1;"<sco>
    <sec>
      <par>
        <lno>[Anno ∙ m ∙ ccc ∙]<appalpha id=""footnotes-appalpha-dio-di101-0011-a"">a)</appalpha> lxxx ∙ vii ∙ de[s]<appalpha id=""footnotes-appalpha-dio-di101-0011-a"">a)</appalpha> ∙ tags ∙ vor ∙ thome ∙ ap(osto)li ∙ ist ∙ gestorben ∙ vlreich [---] vnd ∙ sein ∙ havsfraw ∙ kathrei ∙ starb ∙ am &lt;---&gt;<appalpha id=""footnotes-appalpha-dio-di101-0011-b"">b)</appalpha></lno>
      </par>
    </sec>
  </sco>";[Anno ∙ m ∙ ccc ∙]a) lxxx ∙ vii ∙ de[s]a) ∙ tags ∙ vor ∙ thome ∙ ap(osto)li ∙ ist ∙ gestorben ∙ vlreich [---] vnd ∙ sein ∙ havsfraw ∙ kathrei ∙ starb ∙ am <--->b)
dio~di101-0012~1;"<sco>
    <sec>
      <par>
        <lno>Anno Dominj<appalpha id=""footnotes-appalpha-dio-di101-0012-a"">a)</appalpha> M: CCCLXXXVIII<appalpha id=""footnotes-appalpha-dio-di101-0012-b"">b)</appalpha> feria III in vigilia Sanctj Mathie Apostolj Obiit<appalpha id=""footnotes-appalpha-dio-di101-0012-c"">c)</appalpha> miles hainricus<appalpha id=""footnotes-appalpha-dio-di101-0012-d"">d)</appalpha> dictus<appalpha id=""footnotes-appalpha-dio-di101-0012-e"">e)</appalpha> Tischll<appalpha id=""footnotes-appalpha-dio-di101-0012-f"">f)</appalpha> fundator huius Collegij<appalpha id=""footnotes-appalpha-dio-di101-0012-g"">g)</appalpha></lno>
      </par>
    </sec>
  </sco>";Anno Dominja) M: CCCLXXXVIIIb) feria III in vigilia Sanctj Mathie Apostolj Obiitc) miles hainricusd) dictuse) Tischllf) fundator huius Collegijg)
dio~di101-0013~1;"<sco>
    <sec>
      <par>
        <lno>+ Anno <lig>do</lig>mini ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0013-o"">o</appalpha> ∙ ccc<appalpha id=""footnotes-appalpha-dio-di101-0013-o"">o</appalpha> ∙ l ∙ xxx<appalpha id=""footnotes-appalpha-dio-di101-0013-o"">o</appalpha> ∙ / ix<appalpha id=""footnotes-appalpha-dio-di101-0013-o"">o</appalpha> ∙ in die sancti Januarij obiit d(omi)n(u)s Johan/nes d(i)c(t)us stuckl / abbas aspacensis ecc(lesi)e pie memorie</lno>
      </par>
    </sec>
  </sco>";+ Anno domini ∙ Mo ∙ ccco ∙ l ∙ xxxo ∙ / ixo ∙ in die sancti Januarij obiit d(omi)n(u)s Johan/nes d(i)c(t)us stuckl / abbas aspacensis ecc(lesi)e pie memorie
dio~di101-0014~1;"<sco>
    <sec>
      <par>
        <lno>+ Anno · d(omi)ni · M<appalpha id=""footnotes-appalpha-dio-di101-0014-o"">o</appalpha> / ccc<appalpha id=""footnotes-appalpha-dio-di101-0014-o"">o</appalpha> · lxxxx<appalpha id=""footnotes-appalpha-dio-di101-0014-a"">a)</appalpha> &lt;---&gt; obijt · dominṿs · Martin(us) · Hugo · / de · Chremsa · / · pl(e)b(a)n(u)s · in · Stainchirchen · aput · Ortenwerch</lno>
      </par>
    </sec>
  </sco>";+ Anno · d(omi)ni · Mo / ccco · lxxxxa) <---> obijt · dominṿs · Martin(us) · Hugo · / de · Chremsa · / · pl(e)b(a)n(u)s · in · Stainchirchen · aput · Ortenwerch
dio~di101-0015~1;"<sco>
    <sec>
      <par>
        <lno>+<appalpha id=""footnotes-appalpha-dio-di101-0015-a"">a)</appalpha> A(n)no ∙ d(omi)ni ∙ M ∙ ccc ∙ lxxxxij ∙ / obiit Elena vxor k[ar]ọli de ∙ hagenaw p̣ṛi(m)a ∙ do(minica) ∙ p(os)t / ∙ xi ∙ miliu(m) ∙ v(irginum) ∙ et ∙ x ∙ p̣[..]c̣ị<appalpha id=""footnotes-appalpha-dio-di101-0015-b"">b)</appalpha></lno>
      </par>
    </sec>
  </sco>";+a) A(n)no ∙ d(omi)ni ∙ M ∙ ccc ∙ lxxxxij ∙ / obiit Elena vxor k[ar]ọli de ∙ hagenaw p̣ṛi(m)a ∙ do(minica) ∙ p(os)t / ∙ xi ∙ miliu(m) ∙ v(irginum) ∙ et ∙ x ∙ p̣[..]c̣ịb)
dio~di101-0016~1;"<sco>
    <sec>
      <par>
        <lno>Hie leit begraben / Chunrat Schreibel der gestorben ist an der / heiligen drein Chu/nig tag anno d(omin)i<appalpha id=""footnotes-appalpha-dio-di101-0016-a"">a)</appalpha> M cccc <lig>de</lig>m g<lig>ot</lig> genat</lno>
      </par>
    </sec>
  </sco>";Hie leit begraben / Chunrat Schreibel der gestorben ist an der / heiligen drein Chu/nig tag anno d(omin)ia) M cccc dem got genat
dio~di101-0017~1;"<sco>
    <sec>
      <par>
        <lno>Anno Domini M CCCC an sand [---]<appalpha id=""footnotes-appalpha-dio-di101-0017-a"">a)</appalpha> tag ist gestorben der Edl weis<appalpha id=""footnotes-appalpha-dio-di101-0017-b"">b)</appalpha> hainrich Kastner<appalpha id=""footnotes-appalpha-dio-di101-0017-c"">c)</appalpha> zu pilsting Rihter<appalpha id=""footnotes-appalpha-dio-di101-0017-d"">d)</appalpha> zu Aspach Magdalena Rückhhalmin<appalpha id=""footnotes-appalpha-dio-di101-0017-e"">e)</appalpha> sein hausfrau</lno>
      </par>
    </sec>
  </sco>";Anno Domini M CCCC an sand [---]a) tag ist gestorben der Edl weisb) hainrich Kastnerc) zu pilsting Rihterd) zu Aspach Magdalena Rückhhalmine) sein hausfrau
dio~di101-0018~1;"<sco>
    <sec>
      <par>
        <lno>[---]I ∙ XVI<appalpha id=""footnotes-appalpha-dio-di101-0018-o"">o</appalpha> ∙ K(A)L(ENDAS) ∙ A[---]<appalpha id=""footnotes-appalpha-dio-di101-0018-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>";[---]I ∙ XVIo ∙ K(A)L(ENDAS) ∙ A[---]a)
dio~di101-0019~1;"<sco>
    <sec>
      <par>
        <lno>+ hie leit wolfhar<appalpha id=""footnotes-appalpha-dio-di101-0019-a"">a)</appalpha> / der rvestorffer<appalpha id=""footnotes-appalpha-dio-di101-0019-b"">b)</appalpha> ∙ dem [go]t gnad</lno>
      </par>
    </sec>
  </sco>";+ hie leit wolfhara) / der rvestorfferb) ∙ dem [go]t gnad
dio~di101-0020~1;"<sco>
    <sec>
      <par>
        <lno>Den ḳar<appalpha id=""footnotes-appalpha-dio-di101-0020-a"">a)</appalpha> hat paut Huns<appalpha id=""footnotes-appalpha-dio-di101-0020-b"">b)</appalpha> prew burger / ẓẉ<appalpha id=""footnotes-appalpha-dio-di101-0020-c"">c)</appalpha> vilshouen vnd den ersten stain glegt / an mytichn nach sand steffanstag nach / c̣ṛịṣṣṭ<appalpha id=""footnotes-appalpha-dio-di101-0020-d"">d)</appalpha> gepuert M<appalpha id=""footnotes-appalpha-dio-di101-0020-o"">o</appalpha> cccc<appalpha id=""footnotes-appalpha-dio-di101-0020-o"">o</appalpha> // Jm<appalpha id=""footnotes-appalpha-dio-di101-0020-e"">e)</appalpha> iv. Jar</lno>
      </par>
    </sec>
  </sco>";Den ḳara) hat paut Hunsb) prew burger / ẓẉc) vilshouen vnd den ersten stain glegt / an mytichn nach sand steffanstag nach / c̣ṛịṣṣṭd) gepuert Mo cccco // Jme) iv. Jar
dio~di101-0021~1;"<sco>
    <sec>
      <par>
        <lno>Hye ∙ leit ∙ Ortolf ∙ Mair/hover ∙ von ∙ Prawnaw ∙ Anno ∙ Mi(llesim)o<appalpha id=""footnotes-appalpha-dio-di101-0021-a"">a)</appalpha> ∙ cccc<appalpha id=""footnotes-appalpha-dio-di101-0021-o"">o</appalpha> ∙ iiij ∙ </lno>
      </par>
    </sec>
  </sco>";Hye ∙ leit ∙ Ortolf ∙ Mair/hover ∙ von ∙ Prawnaw ∙ Anno ∙ Mi(llesim)oa) ∙ cccco ∙ iiij ∙
dio~di101-0022~1;"<sco>
    <sec>
      <par>
        <lno>O<appalpha id=""footnotes-appalpha-dio-di101-0022-a"">a)</appalpha> ∙ cccc ∙ vnt ∙ in dem ∙ fier ∙ ist gar<appalpha id=""footnotes-appalpha-dio-di101-0022-b"">b)</appalpha> </lno>
      </par>
    </sec>
  </sco>";Oa) ∙ cccc ∙ vnt ∙ in dem ∙ fier ∙ ist garb)
dio~di101-0023~1;"<sco>
    <sec>
      <par>
        <lno>+ Anno ∙ d(omi)ni ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0023-o"">o</appalpha> ∙ cccc<appalpha id=""footnotes-appalpha-dio-di101-0023-o"">o</appalpha> &lt;∙ iX ∙&gt; / hie<appalpha id=""footnotes-appalpha-dio-di101-0023-a"">a)</appalpha> ∙ leit ∙ h(er) ∙ wilhalm ∙ von ∙ rotaw / ∙ vnd ∙ sein ∙ hawsfraw ∙ / margret ∙ die ∙ layminge//rinn<appalpha id=""footnotes-appalpha-dio-di101-0023-b"">b)</appalpha> ∙</lno>
      </par>
    </sec>
  </sco>";+ Anno ∙ d(omi)ni ∙ Mo ∙ cccco <∙ iX ∙> / hiea) ∙ leit ∙ h(er) ∙ wilhalm ∙ von ∙ rotaw / ∙ vnd ∙ sein ∙ hawsfraw ∙ / margret ∙ die ∙ layminge//rinnb) ∙
dio~di101-0024~1;"<sco>
    <sec>
      <par>
        <lno>Anno Domini M CCCCX<appalpha id=""footnotes-appalpha-dio-di101-0024-a"">a)</appalpha> [---] Obiit Dominus Johannes Hautzenberger<appalpha id=""footnotes-appalpha-dio-di101-0024-b"">b) </appalpha>[---]</lno>
      </par>
    </sec>
  </sco>";Anno Domini M CCCCXa) [---] Obiit Dominus Johannes Hautzenbergerb) [---]
dio~di101-0025~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>+ OSANNA<appalpha id=""footnotes-appalpha-dio-di101-0025-a"">a)</appalpha> ∙ IN EXCELSIS ∙ OMNES ∙ SANCTI ASPAR<appalpha id=""footnotes-appalpha-dio-di101-0025-b"">b)</appalpha> ∙ WALTASAR ∙ MELICHOR<appalpha id=""footnotes-appalpha-dio-di101-0025-c"">c)</appalpha> ∙ ANGELI<appalpha id=""footnotes-appalpha-dio-di101-0025-d"">d)</appalpha></lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>+ hanns ∙ rothamer ∙ hans ∙ foit ∙ habent ∙ gemacht ∙ das ∙ berch ∙ anno ∙ d(omi)ni ∙ Mo / + cccco xxio<appalpha id=""footnotes-appalpha-dio-di101-0025-e"">e)</appalpha> + </lno>
      </par>
    </sec>
  </sco>";I. + OSANNAa) ∙ IN EXCELSIS ∙ OMNES ∙ SANCTI ASPARb) ∙ WALTASAR ∙ MELICHORc) ∙ ANGELId) II. + hanns ∙ rothamer ∙ hans ∙ foit ∙ habent ∙ gemacht ∙ das ∙ berch ∙ anno ∙ d(omi)ni ∙ Mo / + cccco xxioe) +
dio~di101-0026~1;"<sco>
<sec>
<snr>I.</snr>
<par>

<lno>o ∙ ellent / o ∙ ellent / o ∙ ellent / o ∙ ellent</lno>

</par>
</sec>
<sec>
<snr>II.</snr>
<par>

<lno>hic ∙ est ∙ sepultus ∙ d(omi)n(u)s ∙ / Andreas ∙ Stadelpek ∙ Ca/pellanus [∙] hui(us) ∙ ecc(les)ie ∙</lno>
</par>
</sec>
</sco>";I. o ∙ ellent / o ∙ ellent / o ∙ ellent / o ∙ ellent II. hic ∙ est ∙ sepultus ∙ d(omi)n(u)s ∙ / Andreas ∙ Stadelpek ∙ Ca/pellanus [∙] hui(us) ∙ ecc(les)ie ∙
dio~di101-0027~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>∙ Hie ∙ leit ∙ Agnes<appalpha id=""footnotes-appalpha-dio-di101-0027-a"">a)</appalpha> / von ∙ Scherding ∙ her ∙ Andre ∙ des ∙ pḥạṛ(ẹ)ṛ<appalpha id=""footnotes-appalpha-dio-di101-0027-b"">b)</appalpha> ∙ / Mvt(er) ∙ Anno ∙ / M<appalpha id=""footnotes-appalpha-dio-di101-0027-o"">o</appalpha> ∙ cccc<appalpha id=""footnotes-appalpha-dio-di101-0027-o"">o</appalpha> ∙ xxiiij</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>All ∙ her ∙ nach ∙</lno>
      </par>
    </sec>
  </sco>";I. ∙ Hie ∙ leit ∙ Agnesa) / von ∙ Scherding ∙ her ∙ Andre ∙ des ∙ pḥạṛ(ẹ)ṛb) ∙ / Mvt(er) ∙ Anno ∙ / Mo ∙ cccco ∙ xxiiij II. All ∙ her ∙ nach ∙
dio~di101-0028~1;"<sco>
    <sec>
      <par>
        <lno>Anno ∙ d(o)m(in)i<appalpha id=""footnotes-appalpha-dio-di101-0028-a"">a)</appalpha> ∙ m<appalpha id=""footnotes-appalpha-dio-di101-0028-b"">b)</appalpha> ∙ cccc ∙ xx ∙ uiii<appalpha id=""footnotes-appalpha-dio-di101-0028-c"">c)</appalpha> ∙ an ∙ Sannd ∙ / chalmans ∙ tag<appalpha id=""footnotes-appalpha-dio-di101-0028-d"">d)</appalpha> ∙ ist ∙ gestorben ∙ Andre ∙ Schwarczenstainer<appalpha id=""footnotes-appalpha-dio-di101-0028-e"">e)</appalpha> ∙ / der ∙ eltere ∙ zu ∙ Engelburg ∙ und ∙ / darnach ∙ sein ∙ sun ∙ hannes<appalpha id=""footnotes-appalpha-dio-di101-0028-f"">f)</appalpha> ∙ xxxi<appalpha id=""footnotes-appalpha-dio-di101-0028-g"">g)</appalpha> ∙ am ∙ erchtag nach ∙ seuerini<appalpha id=""footnotes-appalpha-dio-di101-0028-h"">h)</appalpha></lno>
      </par>
    </sec>
  </sco>";Anno ∙ d(o)m(in)ia) ∙ mb) ∙ cccc ∙ xx ∙ uiiic) ∙ an ∙ Sannd ∙ / chalmans ∙ tagd) ∙ ist ∙ gestorben ∙ Andre ∙ Schwarczenstainere) ∙ / der ∙ eltere ∙ zu ∙ Engelburg ∙ und ∙ / darnach ∙ sein ∙ sun ∙ hannesf) ∙ xxxig) ∙ am ∙ erchtag nach ∙ seuerinih)
dio~di101-0029~1;"<sco>
<sec>

<par>
<lno>Da ∙ ligt ∙ Erhart ∙ Ekker ∙ / vnd ∙ ist ∙ gestorben ∙ nach ∙ sand ∙ Michahels ∙ tag ∙ acht ∙ / tag ∙ an(no) ∙ M ∙ cccc ∙ xxix </lno>
</par>
</sec>
</sco>";Da ∙ ligt ∙ Erhart ∙ Ekker ∙ / vnd ∙ ist ∙ gestorben ∙ nach ∙ sand ∙ Michahels ∙ tag ∙ acht ∙ / tag ∙ an(no) ∙ M ∙ cccc ∙ xxix
dio~di101-0030~1;"<sco>
    <sec>
      <par>
        <lno>Anno Domini ∙ MCCCCXXX<appalpha id=""footnotes-appalpha-dio-di101-0030-a"">a)</appalpha> Quarto Nonas Marty Obyt Ioannes miles de Ekkarting<appalpha id=""footnotes-appalpha-dio-di101-0030-b"">b)</appalpha></lno>
      </par>
    </sec>
  </sco>";Anno Domini ∙ MCCCCXXXa) Quarto Nonas Marty Obyt Ioannes miles de Ekkartingb)
dio~di101-0031~1;"<sco>
    <sec>
      <par>
        <lno>[---]<appalpha id=""footnotes-appalpha-dio-di101-0031-a"">a)</appalpha> ∙ / Rorar ∙ katrey ∙ sei(n) haus//frau<appalpha id=""footnotes-appalpha-dio-di101-0031-b"">b)</appalpha> [---]arịṇ ∙ / [---] gẹṣṭọrben ∙ [.]er ∙ / aller sel ∙ an(n)o<appalpha id=""footnotes-appalpha-dio-di101-0031-c"">c)</appalpha> ∙ // d(omi)ni<appalpha id=""footnotes-appalpha-dio-di101-0031-b"">b)</appalpha> ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0031-o"">o</appalpha> ∙ cccc xxx[---]<appalpha id=""footnotes-appalpha-dio-di101-0031-d"">d)</appalpha></lno>
      </par>
    </sec>
  </sco>";[---]a) ∙ / Rorar ∙ katrey ∙ sei(n) haus//fraub) [---]arịṇ ∙ / [---] gẹṣṭọrben ∙ [.]er ∙ / aller sel ∙ an(n)oc) ∙ // d(omi)nib) ∙ Mo ∙ cccc xxx[---]d)
dio~di101-0032~1;"<sco>
    <sec>
      <par>
        <lno>An(n)o ∙ d(omi)ni ∙ M<appalpha id=""footnotes-appalpha-dio-di101-0032-o"">o</appalpha> ∙ cccc<appalpha id=""footnotes-appalpha-dio-di101-0032-o"">o</appalpha> ∙ xxxi<appalpha id=""footnotes-appalpha-dio-di101-0032-o"">o</appalpha> ∙ ob[iit ---] / d(omi)n(u)s ∙ Joh(a)n(ne)s ∙ Marstain ∙ re[ctor] / ec(c)l(es)ie ∙ h(ic) ∙ sepult(us) ∙ in die ∙ S ∙ Joh[an---] / q(ui) ∙ Mvlṭạ<appalpha id=""footnotes-appalpha-dio-di101-0032-a"">a)</appalpha> ∙ bona ∙ fec̣(it) ∙ ḥịnc<appalpha id=""footnotes-appalpha-dio-di101-0032-a"">a)</appalpha> ∙ c̣[uius] / a(n)i(m)a<appalpha id=""footnotes-appalpha-dio-di101-0032-b"">b)</appalpha> ∙ req(ui)esc(a)ṭ<appalpha id=""footnotes-appalpha-dio-di101-0032-c"">c)</appalpha> ∙ in ∙ S(ancta) ∙ pace ∙</lno>
      </par>
    </sec>
  </sco>";An(n)o ∙ d(omi)ni ∙ Mo ∙ cccco ∙ xxxio ∙ ob[iit ---] / d(omi)n(u)s ∙ Joh(a)n(ne)s ∙ Marstain ∙ re[ctor] / ec(c)l(es)ie ∙ h(ic) ∙ sepult(us) ∙ in die ∙ S ∙ Joh[an---] / q(ui) ∙ Mvlṭạa) ∙ bona ∙ fec̣(it) ∙ ḥịnca) ∙ c̣[uius] / a(n)i(m)ab) ∙ req(ui)esc(a)ṭc) ∙ in ∙ S(ancta) ∙ pace ∙
dio~di101-0033~1;"<sco>
    <sec>
      <par>
        <lno>Hie · leit · her · Wolf/gang · Wvlfinger / obit<appalpha id=""footnotes-appalpha-dio-di101-0033-a"">a)</appalpha> · d(omi)nica · Ante · War/tholomey · An(n)o<appalpha id=""footnotes-appalpha-dio-di101-0033-b"">b)</appalpha> · do(min)i<appalpha id=""footnotes-appalpha-dio-di101-0033-b"">b)</appalpha> · Mi(llesim)o<appalpha id=""footnotes-appalpha-dio-di101-0033-b"">b)</appalpha> · / · cccc · xxxiii ·</lno>
      </par>
    </sec>
  </sco>";Hie · leit · her · Wolf/gang · Wvlfinger / obita) · d(omi)nica · Ante · War/tholomey · An(n)ob) · do(min)ib) · Mi(llesim)ob) · / · cccc · xxxiii ·
dio~di101-0034~1;"<sco>
    <sec>
      <par>
        <lno>[---/---]<appalpha id=""footnotes-appalpha-dio-di101-0034-a"">a)</appalpha> ∙ obyt ∙ wer(n)hard(us)<appalpha id=""footnotes-appalpha-dio-di101-0034-b"">b)</appalpha> ∙ dict[(us)] ∙ grụḅạṛ ∙ ị(ṇ) ḍịẹ<appalpha id=""footnotes-appalpha-dio-di101-0034-c"">c)</appalpha> ∙ / kathc̣erine<appalpha id=""footnotes-appalpha-dio-di101-0034-d"">d)</appalpha> ∙ (et)<appalpha id=""footnotes-appalpha-dio-di101-0034-e"">e)</appalpha> ∙ vxor ∙ sua / ∙ wa(n)del ∙ cu(m) ∙ p̣ụris<appalpha id=""footnotes-appalpha-dio-di101-0034-f"">f)</appalpha> ∙ sunt ∙ hic ∙ sepullty<appalpha id=""footnotes-appalpha-dio-di101-0034-d"">d)</appalpha> [---]</lno>
      </par>
    </sec>
  </sco>";[---/---]a) ∙ obyt ∙ wer(n)hard(us)b) ∙ dict[(us)] ∙ grụḅạṛ ∙ ị(ṇ) ḍịẹc) ∙ / kathc̣erined) ∙ (et)e) ∙ vxor ∙ sua / ∙ wa(n)del ∙ cu(m) ∙ p̣ụrisf) ∙ sunt ∙ hic ∙ sepulltyd) [---]
dio~di101-0035~1;"<sco>
    <sec>
      <snr>I.</snr>
      <par>
        <lno>Hie<appalpha id=""footnotes-appalpha-dio-di101-0035-a"">a)</appalpha> · leit · Jacob · To<lig>be</lig>lhay/mer · <lig>de</lig>r ·gestor<lig>be</lig>n · ist · <lig>de</lig>s · / pfincztags · in · <lig>de</lig>r ∙ quote(m)/mer<appalpha id=""footnotes-appalpha-dio-di101-0035-b"">b)</appalpha> · In · <lig>de</lig>r ∙ vasten · anno / d(omi)ni · M · cccc<appalpha id=""footnotes-appalpha-dio-di101-0035-c"">c)</appalpha> // xxx iiij · vnd / steffan to//<lig>be</lig>lhaimer<appalpha id=""footnotes-appalpha-dio-di101-0035-d"">d)</appalpha> / sein // sun<appalpha id=""footnotes-appalpha-dio-di101-0035-d"">d)</appalpha> ∙</lno>
      </par>
    </sec>
    <sec>
      <snr>II.</snr>
      <par>
        <lno>∙ helf<appalpha id=""footnotes-appalpha-dio-di101-0035-e"">e)</appalpha> ∙ uns ∙ got ∙</lno>
      </par>
    </sec>
  </sco>";I. Hiea) · leit · Jacob · Tobelhay/mer · der ·gestorben · ist · des · / pfincztags · in · der ∙ quote(m)/merb) · In · der ∙ vasten · anno / d(omi)ni · M · ccccc) // xxx iiij · vnd / steffan to//belhaimerd) / sein // sund) ∙ II. ∙ helfe) ∙ uns ∙ got ∙
